model,replication,method,selected_components,ise,mspe,finite_result,numerical_instability,instability_diagnostic
Model 1,46,Raw FPLS,2,0.6632204596878072,1.0610744121329816,True,False,33.18696152820877
Model 1,46,Arnoldi FPLS,2,0.6632204596878245,1.061074412132986,True,False,6.781905881909279e-16
Model 1,46,FPCR,2,0.7097378757191893,1.0945866934798745,True,False,nan
Model 1,47,CG-FPLS-code,1,0.5925394772386374,1.0819017483714979,True,False,nan
Model 1,47,Raw FPLS,2,0.5238637003431982,0.9371481690062704,True,False,26.25298692196147
Model 1,47,Arnoldi FPLS,2,0.5238637003431933,0.9371481690062686,True,False,4.468487031857247e-16
Model 1,47,FPCR,12,1.521910703211484,1.024300226125544,True,False,nan
Model 1,48,CG-FPLS-code,1,0.44157013424134417,1.1584251734717315,True,False,nan
Model 1,48,Raw FPLS,1,0.44172971818473955,1.1576864679505718,True,False,1.0
Model 1,48,Arnoldi FPLS,1,0.44172971818473983,1.1576864679505705,True,False,0.0
Model 1,48,FPCR,3,0.3775679667887044,1.1784448695906407,True,False,nan
Model 1,49,CG-FPLS-code,1,0.5172031808606498,1.2668825548589218,True,False,nan
Model 1,49,Raw FPLS,2,0.6166088009845032,1.357488497807652,True,False,160.47258907248886
Model 1,49,Arnoldi FPLS,2,0.6166088009839481,1.3574884978073662,True,False,6.673263668799426e-16
Model 1,49,FPCR,3,0.4993252343697425,1.3702087299189367,True,False,nan
Model 1,50,CG-FPLS-code,1,0.5991091128683597,1.2105408425280308,True,False,nan
Model 1,50,Raw FPLS,2,1.3077653919859227,1.146315940567065,True,False,107.98581347066863
Model 1,50,Arnoldi FPLS,2,1.307765391985879,1.146315940567056,True,False,2.2611103592656836e-16
Model 1,50,FPCR,2,0.6899068273540593,1.2648542915695544,True,False,nan
Model 1,51,CG-FPLS-code,1,0.606379177040796,1.1307363076574168,True,False,nan
Model 1,51,Raw FPLS,2,0.5201273197172699,0.8707062297369648,True,False,110.77310468030983
Model 1,51,Arnoldi FPLS,2,0.5201273197164343,0.8707062297370888,True,False,6.662005836110705e-16
Model 1,51,FPCR,3,0.41364020536624735,0.943640305578012,True,False,nan
Model 1,52,CG-FPLS-code,1,0.8203998375166958,1.4584472851677237,True,False,nan
Model 1,52,Raw FPLS,2,0.5006833115995468,1.1951147276535101,True,False,62.378811206202116
Model 1,52,Arnoldi FPLS,2,0.5006833115995368,1.195114727653509,True,False,4.469360661777336e-16
Model 1,52,FPCR,6,0.42964814430211307,1.2290669678039516,True,False,nan
Model 1,53,CG-FPLS-code,1,0.5408568162956149,1.138188681234476,True,False,nan
Model 1,53,Raw FPLS,2,0.812447696943504,1.0357255662936018,True,False,137.42173061202584
Model 1,53,Arnoldi FPLS,2,0.8124476969385986,1.0357255662931335,True,False,4.17711481356703e-16
Model 1,53,FPCR,3,0.5409749783885632,1.0846121589465438,True,False,nan
Model 1,54,CG-FPLS-code,1,0.538443422357461,1.1352551895358043,True,False,nan
Model 1,54,Raw FPLS,2,0.5635452842965006,0.9651378947181206,True,False,194.75060398960377
Model 1,54,Arnoldi FPLS,2,0.5635452842915256,0.9651378947176761,True,False,2.505366806792585e-16
Model 1,54,FPCR,5,0.4284114287911472,1.0614770025176405,True,False,nan
Model 1,55,CG-FPLS-code,1,0.6212823882580657,1.2901754927403244,True,False,nan
Model 1,55,Raw FPLS,2,0.5431972385488626,1.1468788148145161,True,False,70.3190436130621
Model 1,55,Arnoldi FPLS,2,0.5431972385489863,1.1468788148145435,True,False,4.698001148047588e-16
Model 1,55,FPCR,14,1.4551778783688536,1.3645378332655176,True,False,nan
Model 1,56,CG-FPLS-code,1,0.9811010085295233,1.342106829500232,True,False,nan
Model 1,56,Raw FPLS,2,0.8004006417749568,0.9847986928193769,True,False,68.09530841468364
Model 1,56,Arnoldi FPLS,2,0.8004006417752754,0.9847986928193836,True,False,4.516915479107163e-16
Model 1,56,FPCR,8,0.8274896997378611,1.0372797206024322,True,False,nan
Model 1,57,CG-FPLS-code,2,0.4068517385510208,1.1766739699651583,True,False,nan
Model 1,57,Raw FPLS,2,0.416794283210294,1.1817671947720667,True,False,31.098575072889982
Model 1,57,Arnoldi FPLS,2,0.4167942832102437,1.1817671947720336,True,False,4.1298757554310443e-16
Model 1,57,FPCR,9,0.619670646166581,1.1921293791552372,True,False,nan
Model 1,58,CG-FPLS-code,1,0.42253668913362463,0.9414595015082564,True,False,nan
Model 1,58,Raw FPLS,2,0.5896845819140499,1.1294850156128788,True,False,126.71250172167244
Model 1,58,Arnoldi FPLS,2,0.5896845819148209,1.129485015613505,True,False,6.669191416813496e-16
Model 1,58,FPCR,5,0.5423355735821748,1.057708735917676,True,False,nan
Model 1,59,CG-FPLS-code,1,0.7422790150460621,1.8472365740875896,True,False,nan
Model 1,59,Raw FPLS,2,0.4861000133600601,1.4778846165087567,True,False,49.729008822650194
Model 1,59,Arnoldi FPLS,2,0.48610001336007697,1.4778846165088615,True,False,2.229967258576468e-16
Model 1,59,FPCR,3,0.5909781844054318,1.5584609893910368,True,False,nan
Model 1,60,CG-FPLS-code,1,0.3847729162910953,1.2530140969049617,True,False,nan
Model 1,60,Raw FPLS,2,0.27699524561224265,1.1283550712038535,True,False,74.45516786638952
Model 1,60,Arnoldi FPLS,2,0.2769952456122313,1.1283550712038468,True,False,1.6054646223232326e-16
Model 1,60,FPCR,2,0.26952104159702683,1.160594871597362,True,False,nan
Model 1,61,CG-FPLS-code,1,0.4859307041258421,1.2525086588658407,True,False,nan
Model 1,61,Raw FPLS,2,0.7789255188751375,1.1518450754703664,True,False,92.59302642780438
Model 1,61,Arnoldi FPLS,2,0.7789255188760416,1.1518450754704483,True,False,4.621557796061441e-16
Model 1,61,FPCR,3,0.48570401474178937,1.2347184460532916,True,False,nan
Model 1,62,CG-FPLS-code,1,0.545207077641749,1.2311923362196309,True,False,nan
Model 1,62,Raw FPLS,2,0.43934291252019314,0.9812407536937187,True,False,78.24476566917697
Model 1,62,Arnoldi FPLS,2,0.4393429125204111,0.9812407536937863,True,False,8.920582152670695e-16
Model 1,62,FPCR,3,0.36609822183718466,0.9832146147402202,True,False,nan
Model 1,63,CG-FPLS-code,1,0.6534808295891105,1.2304879866687606,True,False,nan
Model 1,63,Raw FPLS,2,0.5452076577833992,1.1217059916735104,True,False,59.53315358417727
Model 1,63,Arnoldi FPLS,2,0.5452076577834546,1.1217059916735241,True,False,5.571474722431571e-16
Model 1,63,FPCR,7,0.5323337609641057,1.1105902250942317,True,False,nan
Model 1,64,CG-FPLS-code,1,1.055295920633807,1.3308210546983685,True,False,nan
Model 1,64,Raw FPLS,2,0.5388344607437842,0.972507931370467,True,False,59.89070695139809
Model 1,64,Arnoldi FPLS,2,0.5388344607441966,0.9725079313705668,True,False,6.928227268390066e-16
Model 1,64,FPCR,3,0.6690558073929715,1.0282770224958,True,False,nan
Model 1,65,CG-FPLS-code,1,0.37785666673474094,1.0923046781986676,True,False,nan
Model 1,65,Raw FPLS,2,0.4763925737766101,1.0670885778720112,True,False,68.6165695552882
Model 1,65,Arnoldi FPLS,2,0.47639257377631183,1.0670885778719,True,False,4.650025211390201e-16
Model 1,65,FPCR,3,0.3733560530663735,1.0378749487485948,True,False,nan
Model 1,66,CG-FPLS-code,1,0.612651700959783,1.1666223745858328,True,False,nan
Model 1,66,Raw FPLS,3,2.0224789885392402,1.4757271751571504,True,False,973.5398972748161
Model 1,66,Arnoldi FPLS,3,2.022478987948742,1.4757271750482255,True,False,9.03641204945148e-16
Model 1,66,FPCR,10,0.8795775729770244,1.2879631763496642,True,False,nan
Model 1,67,CG-FPLS-code,1,0.4693538909378961,0.9430130003032121,True,False,nan
Model 1,67,Raw FPLS,1,0.46722427810517786,0.9362503248490508,True,False,1.0
Model 1,67,Arnoldi FPLS,1,0.46722427810517786,0.9362503248490508,True,False,4.440892098500626e-16
Model 1,67,FPCR,4,0.47852274102517955,0.90625908205039,True,False,nan
Model 1,68,CG-FPLS-code,1,0.6279776684383479,1.4493254850019535,True,False,nan
Model 1,68,Raw FPLS,2,0.6872783293442114,1.2596930246540037,True,False,68.85787202516467
Model 1,68,Arnoldi FPLS,2,0.6872783293441769,1.2596930246540001,True,False,2.1373410210885523e-16
Model 1,68,FPCR,12,0.9175281782546694,1.1158597015550884,True,False,nan
Model 1,69,CG-FPLS-code,1,0.5594468835401321,1.2415022133042282,True,False,nan
Model 1,69,Raw FPLS,2,0.4459716797483666,1.1964249743119053,True,False,69.19475202414856
Model 1,69,Arnoldi FPLS,2,0.44597167974863566,1.196424974312066,True,False,3.73720627492646e-16
Model 1,69,FPCR,7,0.6402268214688415,1.3055440240272742,True,False,nan
Model 1,70,CG-FPLS-code,2,0.40116635382440136,0.9742856059672108,True,False,nan
Model 1,70,Raw FPLS,2,0.42000944224930126,0.9892969755573557,True,False,27.882015162295968
Model 1,70,Arnoldi FPLS,2,0.4200094422492701,0.9892969755573262,True,False,1.0337227977301668e-15
Model 1,70,FPCR,2,0.3695942451755139,0.9614704267260357,True,False,nan
Model 1,71,CG-FPLS-code,2,0.5297583623473898,0.9016759337731017,True,False,nan
Model 1,71,Raw FPLS,2,0.5395901559544837,0.8969052190831338,True,False,29.614912413622662
Model 1,71,Arnoldi FPLS,2,0.5395901559544778,0.8969052190831351,True,False,2.610730609910055e-16
Model 1,71,FPCR,8,0.8098311929616868,0.8831735444309448,True,False,nan
Model 1,72,CG-FPLS-code,1,1.3245463899325824,1.6937530667996734,True,False,nan
Model 1,72,Raw FPLS,2,0.5285850507951886,1.144352060594715,True,False,43.69031997055056
Model 1,72,Arnoldi FPLS,2,0.5285850507950934,1.1443520605946436,True,False,8.047193700797043e-16
Model 1,72,FPCR,5,0.5916242219536832,1.2390192320458213,True,False,nan
Model 1,73,CG-FPLS-code,1,0.6620496176409076,1.1494240476991553,True,False,nan
Model 1,73,Raw FPLS,2,0.6070669218373832,1.1533789749477033,True,False,61.90843143782841
Model 1,73,Arnoldi FPLS,2,0.6070669218374243,1.1533789749477377,True,False,4.466275085781369e-16
Model 1,73,FPCR,16,1.70787056792733,1.1284726930881066,True,False,nan
Model 1,74,CG-FPLS-code,1,0.7968119310127767,1.3854147012379672,True,False,nan
