analysis,variant,variant_role,instrument,repeat,outer_fold,evaluation_index_scope,method,wavelength_nm,linear_weight,functional_beta_common_1_over_650,intercept,training_y_mean,retained_processed_wavelength,training_x_mean_after_fixed_transform,processed_grid_size,status
development_repeated_nested_cv,primary_instrument1_full,primary,1,1,1,development_combined,CG-FPLS-code,750.0,-0.11090014903410467,-72.08509687216804,168.01942458929807,193.33653846153845,True,3.5299611217948725,650,ok
development_repeated_nested_cv,primary_instrument1_full,primary,1,1,1,development_combined,CG-FPLS-code,752.0,-0.10392254585130688,-67.54965480334947,168.01942458929807,193.33653846153845,True,3.5249549102564086,650,ok
development_repeated_nested_cv,primary_instrument1_full,primary,1,1,1,development_combined,CG-FPLS-code,754.0,-0.11553929488287419,-75.10054167386822,168.01942458929807,193.33653846153845,True,3.520879621794871,650,ok
development_repeated_nested_cv,primary_instrument1_full,primary,1,1,1,development_combined,CG-FPLS-code,756.0,-0.13078318461783728,-85.00907000159422,168.01942458929807,193.33653846153845,True,3.516431467948718,650,ok
development_repeated_nested_cv,primary_instrument1_full,primary,1,1,1,development_combined,CG-FPLS-code,758.0,-0.1430690475243172,-92.99488089080619,168.01942458929807,193.33653846153845,True,3.512695903846154,650,ok
development_repeated_nested_cv,primary_instrument1_full,primary,1,1,1,development_combined,CG-FPLS-code,760.0,-0.138111150831091,-89.77224804020915,168.01942458929807,193.33653846153845,True,3.5099358205128217,650,ok
development_repeated_nested_cv,primary_instrument1_full,primary,1,1,1,development_combined,CG-FPLS-code,762.0,-0.14225400230443286,-92.46510149788136,168.01942458929807,193.33653846153845,True,3.5072972948717953,650,ok
development_repeated_nested_cv,primary_instrument1_full,primary,1,1,1,development_combined,CG-FPLS-code,764.0,-0.14608908337936025,-94.95790419658417,168.01942458929807,193.33653846153845,True,3.5049307115384645,650,ok
development_repeated_nested_cv,primary_instrument1_full,primary,1,1,1,development_combined,CG-FPLS-code,766.0,-0.13512533901541185,-87.8314703600177,168.01942458929807,193.33653846153845,True,3.502805442307692,650,ok
development_repeated_nested_cv,primary_instrument1_full,primary,1,1,1,development_combined,CG-FPLS-code,768.0,-0.1247264163683315,-81.07217063941548,168.01942458929807,193.33653846153845,True,3.501859025641026,650,ok
development_repeated_nested_cv,primary_instrument1_full,primary,1,1,1,development_combined,CG-FPLS-code,770.0,-0.11455803191098067,-74.46272074213744,168.01942458929807,193.33653846153845,True,3.5026652628205137,650,ok
development_repeated_nested_cv,primary_instrument1_full,primary,1,1,1,development_combined,CG-FPLS-code,772.0,-0.114557862242414,-74.4626104575691,168.01942458929807,193.33653846153845,True,3.4997877564102557,650,ok
development_repeated_nested_cv,primary_instrument1_full,primary,1,1,1,development_combined,CG-FPLS-code,774.0,-0.10567986635732002,-68.69191313225801,168.01942458929807,193.33653846153845,True,3.500399147435896,650,ok
development_repeated_nested_cv,primary_instrument1_full,primary,1,1,1,development_combined,CG-FPLS-code,776.0,-0.09453714674558389,-61.449145384629524,168.01942458929807,193.33653846153845,True,3.501967717948717,650,ok
development_repeated_nested_cv,primary_instrument1_full,primary,1,1,1,development_combined,CG-FPLS-code,778.0,-0.08450413232200267,-54.92768600930174,168.01942458929807,193.33653846153845,True,3.504461,650,ok
development_repeated_nested_cv,primary_instrument1_full,primary,1,1,1,development_combined,CG-FPLS-code,780.0,-0.06905501488220127,-44.885759673430826,168.01942458929807,193.33653846153845,True,3.508180923076922,650,ok
development_repeated_nested_cv,primary_instrument1_full,primary,1,1,1,development_combined,CG-FPLS-code,782.0,-0.07303825902144111,-47.47486836393672,168.01942458929807,193.33653846153845,True,3.512475435897437,650,ok
development_repeated_nested_cv,primary_instrument1_full,primary,1,1,1,development_combined,CG-FPLS-code,784.0,-0.05227707578999387,-33.980099263496015,168.01942458929807,193.33653846153845,True,3.5159222371794883,650,ok
development_repeated_nested_cv,primary_instrument1_full,primary,1,1,1,development_combined,CG-FPLS-code,786.0,-0.04770198317955141,-31.00628906670842,168.01942458929807,193.33653846153845,True,3.520442705128207,650,ok
development_repeated_nested_cv,primary_instrument1_full,primary,1,1,1,development_combined,CG-FPLS-code,788.0,-0.02423252838693298,-15.751143451506437,168.01942458929807,193.33653846153845,True,3.5245628653846164,650,ok
development_repeated_nested_cv,primary_instrument1_full,primary,1,1,1,development_combined,CG-FPLS-code,790.0,-0.01992592746176478,-12.951852850147105,168.01942458929807,193.33653846153845,True,3.5284647820512807,650,ok
development_repeated_nested_cv,primary_instrument1_full,primary,1,1,1,development_combined,CG-FPLS-code,792.0,-0.015372486962199398,-9.992116525429608,168.01942458929807,193.33653846153845,True,3.5326995705128197,650,ok
development_repeated_nested_cv,primary_instrument1_full,primary,1,1,1,development_combined,CG-FPLS-code,794.0,-0.005176080575766224,-3.364452374248046,168.01942458929807,193.33653846153845,True,3.5369129166666675,650,ok
development_repeated_nested_cv,primary_instrument1_full,primary,1,1,1,development_combined,CG-FPLS-code,796.0,0.0009334888492033254,0.6067677519821615,168.01942458929807,193.33653846153845,True,3.5414838333333316,650,ok
development_repeated_nested_cv,primary_instrument1_full,primary,1,1,1,development_combined,CG-FPLS-code,798.0,0.007147196864078248,4.645677961650861,168.01942458929807,193.33653846153845,True,3.547325096153846,650,ok
