analysis,variant,variant_role,instrument,repeat,outer_fold,evaluation_index_scope,method,status,error_type,error_message,selected_components,criterion_name,runtime_seconds,intercept,numerical_positive_rank,eigenvalue_threshold,pilot_components,threshold,threshold_reached,sigma2,moment_residual_m0,effective_dimension,selected_beyond_effective_dimension,selected_at_cap,path_cap,processed_grid_size,shared_fpcr_path_seconds,training_rmse,training_bias,coefficient_norm,coefficient_max_abs,prediction_finite,inner_fold_failures,inner_error_messages,selected_basis_condition,selected_design_condition,instability_flag,inner_effective_dimension_min,inner_effective_dimension_max,rank_breakdown,selected_orthogonality_defect,selected_eigenvalue,selected_spectral_condition
development_repeated_nested_cv,primary_instrument1_full,primary,1,2,1,development_combined,FPCR,ok,,,39,response_gcv,0.03536839199841779,40.83704924421656,155.0,3.860958807046208e-15,,,,,,,,False,70,650,0.033974010999372695,3.115915747519915,5.028456283840709e-14,27823.396573646827,5150.459397370694,True,,,,,,,,,,8.177818000593468e-06,3271.177760929583
development_repeated_nested_cv,primary_instrument1_full,primary,1,2,2,development_combined,CG-FPLS-code,ok,,,3,discrepancy_moment,0.0721648720009398,141.4054741294881,155.0,3.3883682292037678e-15,70.0,0.20764120895689317,True,10.320560531461089,1.379848438168242,70.0,False,False,70,650,0.0336351799996919,5.51161831299032,6.285570354800887e-14,19402.545183432085,2895.216640105902,True,,,,,,,,,,,
development_repeated_nested_cv,primary_instrument1_full,primary,1,2,2,development_combined,Raw FPLS,ok,,,70,inner_cv_mse,0.3025264399966545,147.65291645493076,,,,,,,,70.0,,True,70,650,,4.525371667678123,8.398979517574518e-14,22012.89790651863,3131.536796271801,True,0.0,,4503599627370496.0,4503599627370496.0,True,,,,,,
development_repeated_nested_cv,primary_instrument1_full,primary,1,2,2,development_combined,Arnoldi FPLS,ok,,,5,inner_cv_mse,0.3247216870004195,130.32886919219885,,,,,,,,70.0,,False,70,650,,4.472949837565673,8.089255760961141e-14,21681.892095328232,3096.070509310029,True,0.0,,1.0000000000000007,10.974303868021536,False,70.0,70.0,False,7.738051457959134e-16,,
development_repeated_nested_cv,primary_instrument1_full,primary,1,2,2,development_combined,FPCR,ok,,,8,response_gcv,0.03511118099959276,125.41879753118583,155.0,3.3883682292037678e-15,,,,,,,,False,70,650,0.0336351799996919,4.692709302006904,8.071036716454472e-14,21497.327684110984,2934.0204837584615,True,,,,,,,,,,8.692576188009239e-05,270.07756724084675
development_repeated_nested_cv,primary_instrument1_full,primary,1,2,3,development_combined,CG-FPLS-code,ok,,,3,discrepancy_moment,0.05954978299814684,155.94137918008644,155.0,3.8072758791411535e-15,70.0,0.21760331606787559,True,10.591592633971244,1.6796558696251236,70.0,False,False,70,650,0.03745277499911026,5.7627522818744765,5.5568085745341167e-14,18293.85436380326,2910.7058778264336,True,,,,,,,,,,,
development_repeated_nested_cv,primary_instrument1_full,primary,1,2,3,development_combined,Raw FPLS,ok,,,16,inner_cv_mse,0.2987224070002412,127.6605111195178,,,,,,,,70.0,,False,70,650,,4.6491510885266845,5.1559895953873936e-14,21836.34132484904,3161.0154621601105,True,0.0,,4503599627370496.0,4503599627370496.0,True,,,,,,
development_repeated_nested_cv,primary_instrument1_full,primary,1,2,3,development_combined,Arnoldi FPLS,ok,,,4,inner_cv_mse,0.34006040100030077,89.77563641128594,,,,,,,,70.0,,False,70,650,,4.883302320482564,6.485979844374248e-14,20508.730768829275,3117.1153185550247,True,0.0,,1.0000000000000004,8.900803367292733,False,70.0,70.0,False,1.115833556070604e-15,,
development_repeated_nested_cv,primary_instrument1_full,primary,1,2,3,development_combined,FPCR,ok,,,11,response_gcv,0.03887866199875134,119.14248297813175,155.0,3.8072758791411535e-15,,,,,,,,False,70,650,0.03745277499911026,4.805806621404822,7.123646402107671e-14,21055.752732441797,2795.867268472082,True,,,,,,,,,,5.9783380427527845e-05,441.2455076716509
development_repeated_nested_cv,primary_instrument1_full,primary,1,2,4,development_combined,CG-FPLS-code,ok,,,3,discrepancy_moment,0.05056590099957248,117.61913639243582,155.0,3.5438236038602157e-15,70.0,0.19492314930000518,True,8.900650511013067,1.3807665215495313,70.0,False,False,70,650,0.0318322419989272,5.064671700433373,9.018427030801271e-14,20039.051048885052,3023.607479180073,True,,,,,,,,,,,
