analysis,variant,variant_role,instrument,repeat,outer_fold,evaluation_index_scope,method,m,criterion,eligible,leading_eigenvalue_curve,pilot_gcv_curve,moment_residual_curve,update_norm_curve,valid_curve,basis_condition_curve,design_condition_curve,krylov_log10_column_norm_curve,orthogonality_defect_curve
development_repeated_nested_cv,primary_instrument1_full,primary,1,4,2,development_combined,Arnoldi FPLS,43,45.2761584362986,True,,,,,True,1.0000000000000009,760.2694568713634,,1.2068563747002529e-15
development_repeated_nested_cv,primary_instrument1_full,primary,1,4,2,development_combined,Arnoldi FPLS,44,46.73008786344128,True,,,,,True,1.0000000000000009,803.0064109593728,,1.2075539119005023e-15
development_repeated_nested_cv,primary_instrument1_full,primary,1,4,2,development_combined,Arnoldi FPLS,45,47.18554368987277,True,,,,,True,1.0000000000000007,820.3654832442702,,1.2077568860120106e-15
development_repeated_nested_cv,primary_instrument1_full,primary,1,4,2,development_combined,Arnoldi FPLS,46,48.22998192667563,True,,,,,True,1.0000000000000009,837.6602277881477,,1.2081808427361902e-15
development_repeated_nested_cv,primary_instrument1_full,primary,1,4,2,development_combined,Arnoldi FPLS,47,50.082557835167435,True,,,,,True,1.0000000000000007,871.9209777279806,,1.208242560731211e-15
development_repeated_nested_cv,primary_instrument1_full,primary,1,4,2,development_combined,Arnoldi FPLS,48,51.532505021144665,True,,,,,True,1.0000000000000009,922.0109653673705,,1.20871006874229e-15
development_repeated_nested_cv,primary_instrument1_full,primary,1,4,2,development_combined,Arnoldi FPLS,49,51.60519500299936,True,,,,,True,1.0000000000000009,950.6114509741318,,1.2087216925973533e-15
development_repeated_nested_cv,primary_instrument1_full,primary,1,4,2,development_combined,Arnoldi FPLS,50,51.716865617528,True,,,,,True,1.000000000000001,972.5311738037929,,1.2087640312771425e-15
development_repeated_nested_cv,primary_instrument1_full,primary,1,4,2,development_combined,Arnoldi FPLS,51,52.54612370625821,True,,,,,True,1.000000000000001,1010.2252713318712,,1.2094603558421036e-15
development_repeated_nested_cv,primary_instrument1_full,primary,1,4,2,development_combined,Arnoldi FPLS,52,53.22315572424537,True,,,,,True,1.0000000000000009,1039.2061334517662,,1.21054497037922e-15
development_repeated_nested_cv,primary_instrument1_full,primary,1,4,2,development_combined,Arnoldi FPLS,53,54.75684355365447,True,,,,,True,1.0000000000000009,1054.6603057344662,,1.2105683665495632e-15
development_repeated_nested_cv,primary_instrument1_full,primary,1,4,2,development_combined,Arnoldi FPLS,54,56.318848075704516,True,,,,,True,1.0000000000000009,1117.4864385800104,,1.217868557085444e-15
development_repeated_nested_cv,primary_instrument1_full,primary,1,4,2,development_combined,Arnoldi FPLS,55,56.76987816748862,True,,,,,True,1.0000000000000007,1159.1566375088548,,1.217893857781112e-15
development_repeated_nested_cv,primary_instrument1_full,primary,1,4,2,development_combined,Arnoldi FPLS,56,57.35818381260962,True,,,,,True,1.0000000000000009,1185.6438974428056,,1.2189217010219423e-15
development_repeated_nested_cv,primary_instrument1_full,primary,1,4,2,development_combined,Arnoldi FPLS,57,59.253132981072554,True,,,,,True,1.0000000000000009,1306.6622361548082,,1.2189231231549574e-15
development_repeated_nested_cv,primary_instrument1_full,primary,1,4,2,development_combined,Arnoldi FPLS,58,60.04297755417432,True,,,,,True,1.000000000000001,1394.719151320195,,1.2189966675745049e-15
development_repeated_nested_cv,primary_instrument1_full,primary,1,4,2,development_combined,Arnoldi FPLS,59,61.26550080731344,True,,,,,True,1.0000000000000009,1466.0758384232581,,1.2189970850833448e-15
development_repeated_nested_cv,primary_instrument1_full,primary,1,4,2,development_combined,Arnoldi FPLS,60,62.423974023651134,True,,,,,True,1.0000000000000009,1559.3232553026214,,1.2192322586583987e-15
development_repeated_nested_cv,primary_instrument1_full,primary,1,4,2,development_combined,Arnoldi FPLS,61,63.6865934981907,True,,,,,True,1.000000000000001,1625.9845515957084,,1.2193521695289394e-15
development_repeated_nested_cv,primary_instrument1_full,primary,1,4,2,development_combined,Arnoldi FPLS,62,64.26454601024165,True,,,,,True,1.0000000000000009,1819.1014230176436,,1.219438455420579e-15
development_repeated_nested_cv,primary_instrument1_full,primary,1,4,2,development_combined,Arnoldi FPLS,63,64.9149242555627,True,,,,,True,1.0000000000000009,1895.8669652332471,,1.220139918686187e-15
development_repeated_nested_cv,primary_instrument1_full,primary,1,4,2,development_combined,Arnoldi FPLS,64,65.39572389620258,True,,,,,True,1.0000000000000009,2011.0178342398087,,1.222738981572273e-15
development_repeated_nested_cv,primary_instrument1_full,primary,1,4,2,development_combined,Arnoldi FPLS,65,65.75920877194373,True,,,,,True,1.0000000000000009,2100.9613087158136,,1.2227679463182835e-15
development_repeated_nested_cv,primary_instrument1_full,primary,1,4,2,development_combined,Arnoldi FPLS,66,66.53038750423164,True,,,,,True,1.000000000000001,2187.676897863752,,1.2227706251146491e-15
development_repeated_nested_cv,primary_instrument1_full,primary,1,4,2,development_combined,Arnoldi FPLS,67,67.27291672934435,True,,,,,True,1.000000000000001,2304.385940315239,,1.2228573434358925e-15
development_repeated_nested_cv,primary_instrument1_full,primary,1,4,2,development_combined,Arnoldi FPLS,68,67.48948943891872,True,,,,,True,1.0000000000000007,2424.6401308112895,,1.223504010498225e-15
development_repeated_nested_cv,primary_instrument1_full,primary,1,4,2,development_combined,Arnoldi FPLS,69,67.76663143121365,True,,,,,True,1.0000000000000009,2580.6832994448782,,1.2235904976160662e-15
