model,method,distribution_scope,replications,s,true,mean,bias,variance,standard_deviation,median,p025,p975,minimum,maximum,skewness,excess_kurtosis
Model 2,CG-FPLS-code,all replications,5000,1.0,4.02728466950223,4.444453798710631,0.41716912920840077,7.351215815583058,2.71131256324,4.501923450142382,-0.7999957542039784,9.853693658484909,-4.77289631622267,15.808452099244409,0.022182307216555956,-0.019695496692488934
Model 2,Raw FPLS,archived numerically stable raw fits,4591,0.0,26.808409035918107,26.255847672208635,-0.5525613637094722,8.500312905632429,2.915529609802039,26.266595524421295,20.467960994868044,31.92720963175047,15.436312438482348,37.1409832970278,0.009551508351361431,0.24673215088941713
Model 2,Raw FPLS,archived numerically stable raw fits,4591,0.25,-9.611369501035597,-8.989139910129678,0.6222295909059188,4.907163261235412,2.2152117869936077,-8.986983143433504,-13.533486155101754,-4.610697349212323,-19.371388196264988,-1.2594587818427727,-0.09765791194225534,0.3475664288078546
Model 2,Raw FPLS,archived numerically stable raw fits,4591,0.5,3.9666189142163337,3.7222689497112764,-0.2443499645050573,4.708407988953247,2.1698866304379236,3.714078766216766,-0.5319026264222817,7.944725047097915,-6.014560069080277,13.128132901513421,-0.05537403235092298,0.41861094118073794
Model 2,Raw FPLS,archived numerically stable raw fits,4591,0.75,6.333431424988685,6.252493504310997,-0.08093792067768835,5.045090877853859,2.2461279745049834,6.257863035982206,1.9661243621732007,10.707331504291272,-4.109189379461502,14.918516281320457,0.01422135743094362,0.2072512496370238
Model 2,Raw FPLS,archived numerically stable raw fits,4591,1.0,4.02728466950223,4.041386361440156,0.014101691937925764,8.203713162104663,2.864212485501846,4.03621016478194,-1.6187830235202325,9.682842136916827,-6.79680967782259,14.603387039616303,0.004285255007182589,0.2077622333331237
Model 2,Arnoldi FPLS,all replications,5000,0.0,26.808409035918107,26.248873370389088,-0.5595356655290189,9.063029587425389,3.010486603096813,26.26820635566702,20.249813532896123,32.10479715596284,10.726157828599048,37.49173335525263,-0.0059967699406121245,0.4238857710542363
Model 2,Arnoldi FPLS,all replications,5000,0.25,-9.611369501035597,-8.99225302711072,0.6191164739248762,5.397122281202868,2.3231707387109686,-8.989462778227217,-13.691118844509038,-4.456115602284295,-19.371756356224534,7.61097979787375,0.025299444158444775,1.2149066775746666
Model 2,Arnoldi FPLS,all replications,5000,0.5,3.9666189142163337,3.7155420615281183,-0.25107685268821545,5.129279471756376,2.2647912645001913,3.7172458915593496,-0.7304096040329628,8.13315241266956,-6.024101008279736,23.252716540090073,0.08113156541926306,1.5904842029774322
Model 2,Arnoldi FPLS,all replications,5000,0.75,6.333431424988685,6.2498995404788396,-0.08353188450984561,5.378004673357462,2.319052537860551,6.262348186971032,1.7725905528810233,10.844732285089869,-4.622204403705065,14.918543772331802,-0.032102780903022717,0.37031210112005564
Model 2,Arnoldi FPLS,all replications,5000,1.0,4.02728466950223,4.021768668477969,-0.005516001024261641,8.806087118501944,2.9675052010909675,4.0012775547476265,-1.8801023643608938,9.869282082388812,-6.962994062519796,22.83523329864108,0.07181760355500887,0.5465889840221769
Model 2,FPCR,all replications,5000,0.0,26.808409035918107,25.903270829588333,-0.9051382063297737,8.84835114836056,2.974617815511862,25.86791927033744,20.07203805377994,31.82716269000148,14.355521660823714,35.7440574638557,-0.0039164377464059215,0.022706408471917516
Model 2,FPCR,all replications,5000,0.25,-9.611369501035597,-8.706543577033527,0.9048259240020702,5.025740397246729,2.241816316571616,-8.710169883930336,-13.162314196853375,-4.23488342159986,-17.061125579398684,0.8022389022022711,0.010216338074691392,0.10863808438157507
