subset,model,method,decomposition_available,decomposition_scope,archived_replications_in_scope,decomposition_replications,slope_squared_bias,slope_variance,slope_mse,archived_mean_ise,replayed_mean_ise,slope_decomposition_minus_replayed_ise,prediction_squared_bias,prediction_variance,irreducible_noise_variance,expected_test_mspe,archived_mean_test_mspe,expected_minus_archived_test_mspe,variance_denominator
all replications,Model 3,Arnoldi FPLS,True,all replications,5000,5000,0.005508154433594532,0.664154822101599,0.6696629765351936,0.6696629765352009,0.6696629765352009,-7.327471962526033e-15,0.009798938415866962,0.12295225631396196,1.0,1.132751194729829,1.1313751659062152,0.0013760288236137619,5000
all replications,Model 3,FPCR,True,all replications,5000,5000,0.007192424342461892,0.6078030223922756,0.6149954467347375,0.6149954467347419,0.6149954467347419,-4.440892098500626e-15,0.013467304537959,0.11413650656532418,1.0,1.1276038111032831,1.1266324916478654,0.0009713194554177296,5000
paired raw-stable subset,Model 1,CG-FPLS-code,True,paired raw-stable subset,4980,4980,0.1068033321684443,0.5257656949427456,0.6325690271111899,0.6325690271111942,0.6325690271111942,-4.3298697960381105e-15,0.11003562853574984,0.16038503894067827,1.0,1.270420667476428,1.269754927290287,0.0006657401861409618,4980
paired raw-stable subset,Model 1,Raw FPLS,True,paired raw-stable subset,4980,4980,0.008174526340740064,0.7003724732280264,0.7085469995687665,0.7085469995687704,0.7085469995687704,-3.885780586188048e-15,0.01327437233827094,0.11423006081352444,1.0,1.1275044331517954,1.1278552837957945,-0.00035085064399908994,4980
paired raw-stable subset,Model 1,Arnoldi FPLS,True,paired raw-stable subset,4980,4980,0.008189596594196024,0.7084601856427869,0.716649782236983,0.7166497822369873,0.7166497822369873,-4.3298697960381105e-15,0.013281186803203093,0.11452752524694375,1.0,1.1278087120501468,1.1282176472668333,-0.00040893521668650124,4980
paired raw-stable subset,Model 1,FPCR,True,paired raw-stable subset,4980,4980,0.009791485419868635,0.6533611121793013,0.6631525975991699,0.6631525975991713,0.6631525975991713,-1.4432899320127035e-15,0.016447593870139495,0.10979931032736275,1.0,1.1262469041975023,1.1260148786079502,0.0002320255895520429,4980
paired raw-stable subset,Model 2,CG-FPLS-code,True,paired raw-stable subset,4591,4591,1.2248060765971822,4.271217054914812,5.496023131511994,5.496023131512005,5.496023131512005,-1.0658141036401503e-14,0.4724100430491192,0.5234110612042505,1.0,1.9958211042533698,1.9981108743270302,-0.00228977007366038,4591
paired raw-stable subset,Model 2,Raw FPLS,True,paired raw-stable subset,4591,4591,0.10612794833826687,5.467755067283789,5.573883015622055,5.573883015621991,5.573883015621991,6.394884621840902e-14,0.052726742017810836,0.37209338462357616,1.0,1.4248201266413871,1.427129269980536,-0.002309143339148889,4591
paired raw-stable subset,Model 2,Arnoldi FPLS,True,paired raw-stable subset,4591,4591,0.10605959540780546,5.506005080521354,5.61206467592916,5.612064675929158,5.612064675929158,1.7763568394002505e-15,0.05267632461291438,0.37321743524202455,1.0,1.4258937598549388,1.4281674213172837,-0.002273661462344867,4591
paired raw-stable subset,Model 2,FPCR,True,paired raw-stable subset,4591,4591,0.25087728221692646,5.260874682442658,5.5117519646595845,5.5117519646595285,5.5117519646595285,5.595524044110789e-14,0.11457379810132749,0.37982401749906114,1.0,1.4943978156003888,1.4937178057320737,0.0006800098683150679,4591
paired raw-stable subset,Model 3,CG-FPLS-code,True,paired raw-stable subset,4984,4984,0.018360573944572574,0.428394321274558,0.4467548952191306,0.4467548952191391,0.4467548952191391,-8.493206138382448e-15,0.034659268133744224,0.1885345277469267,1.0,1.223193795880671,1.2207202814881568,0.0024735143925140868,4984
paired raw-stable subset,Model 3,Raw FPLS,True,paired raw-stable subset,4984,4984,0.005544314073744346,0.632809222546905,0.6383535366206493,0.6383535366206579,0.6383535366206579,-8.548717289613705e-15,0.009850235384661494,0.12148466832983298,1.0,1.1313349037144944,1.130197775024925,0.0011371286895693888,4984
paired raw-stable subset,Model 3,Arnoldi FPLS,True,paired raw-stable subset,4984,4984,0.005544313088469176,0.6328095063336374,0.6383538194221066,0.6383538194221139,0.6383538194221139,-7.327471962526033e-15,0.009850234655071607,0.12148467853802142,1.0,1.131334913193093,1.130197783870287,0.0011371293228059631,4984
paired raw-stable subset,Model 3,FPCR,True,paired raw-stable subset,4984,4984,0.007215133591745436,0.6005640880186253,0.6077792216103707,0.6077792216103757,0.6077792216103757,-4.9960036108132044e-15,0.013505879007672186,0.11379656051807442,1.0,1.1273024395257467,1.1262987243684164,0.0010037151573303316,4984
