analysis,variant,variant_role,instrument,repeat,outer_fold,evaluation_index_scope,method,status,error_type,error_message,selected_components,criterion_name,runtime_seconds,intercept,numerical_positive_rank,eigenvalue_threshold,pilot_components,threshold,threshold_reached,sigma2,moment_residual_m0,effective_dimension,selected_beyond_effective_dimension,selected_at_cap,path_cap,processed_grid_size,shared_fpcr_path_seconds,training_rmse,training_bias,coefficient_norm,coefficient_max_abs,prediction_finite,inner_fold_failures,inner_error_messages,selected_basis_condition,selected_design_condition,instability_flag,inner_effective_dimension_min,inner_effective_dimension_max,rank_breakdown,selected_orthogonality_defect,selected_eigenvalue,selected_spectral_condition
development_repeated_nested_cv,primary_instrument1_full,primary,1,1,3,development_combined,Arnoldi FPLS,ok,,,5,inner_cv_mse,0.24947708402760327,130.9802484145244,,,,,,,,70.0,,False,70,650,,4.141315847720052,8.052817671947803e-14,21580.917485998074,2988.0533447660637,True,0.0,,1.0000000000000004,13.15580311647152,False,70.0,70.0,False,4.481299710098712e-16,,
development_repeated_nested_cv,primary_instrument1_full,primary,1,1,3,development_combined,FPCR,ok,,,39,response_gcv,0.031020292022731155,95.97555644306064,155.0,3.964700068719997e-15,,,,,,,,False,70,650,0.030218750005587935,3.4756645199036376,6.832141690000963e-14,27498.095624533416,5289.267233213763,True,,,,,,,,,,8.261949210090663e-06,3324.8666773575546
development_repeated_nested_cv,primary_instrument1_full,primary,1,1,4,development_combined,CG-FPLS-code,ok,,,3,discrepancy_moment,0.038709208951331675,176.85333682838623,155.0,3.3308508810649996e-15,70.0,0.18552696361782597,True,8.540078614927694,1.4335620987088626,70.0,False,False,70,650,0.030083041987381876,5.452206933437216,4.9009229722940246e-14,18920.76750226182,2922.7478374673383,True,,,,,,,,,,,
development_repeated_nested_cv,primary_instrument1_full,primary,1,1,4,development_combined,Raw FPLS,ok,,,62,inner_cv_mse,0.22909837501356378,124.82342383449374,,,,,,,,70.0,,False,70,650,,4.334692172745191,6.212694176774209e-14,21403.173432140975,3114.906972080469,True,0.0,,4503599627370496.0,4503599627370496.0,True,,,,,,
development_repeated_nested_cv,primary_instrument1_full,primary,1,1,4,development_combined,Arnoldi FPLS,ok,,,5,inner_cv_mse,0.24822787602897733,129.494003097281,,,,,,,,70.0,,False,70,650,,4.314290671605294,6.394884621840902e-14,21632.9529974468,3129.50771268846,True,0.0,,1.0000000000000002,12.99057953242262,False,70.0,70.0,False,3.020680487800209e-16,,
development_repeated_nested_cv,primary_instrument1_full,primary,1,1,4,development_combined,FPCR,ok,,,56,response_gcv,0.030904499988537282,107.0548276012453,155.0,3.3308508810649996e-15,,,,,,,,False,70,650,0.030083041987381876,3.0627877915750696,-1.3664283380001927e-14,56929.08549337512,18636.58465240019,True,,,,,,,,,,5.015961892636808e-07,46009.48580328518
development_repeated_nested_cv,primary_instrument1_full,primary,1,1,5,development_combined,CG-FPLS-code,ok,,,3,discrepancy_moment,0.039188209048006684,170.83379985063914,155.0,3.716456077837685e-15,70.0,0.21765803149870894,True,10.538480419344829,1.4698046517001977,70.0,False,False,70,650,0.030334250011947006,6.260942773237352,2.332037696853662e-14,17410.8297205513,2627.7817790857894,True,,,,,,,,,,,
development_repeated_nested_cv,primary_instrument1_full,primary,1,1,5,development_combined,Raw FPLS,ok,,,4,inner_cv_mse,0.23523504193872213,86.23023018841353,,,,,,,,70.0,,False,70,650,,4.723512581254711,2.6781995424803776e-14,20895.927300957846,2978.424246952636,True,0.0,,12536.180465376097,85370.03891418359,False,,,,,,
development_repeated_nested_cv,primary_instrument1_full,primary,1,1,5,development_combined,Arnoldi FPLS,ok,,,4,inner_cv_mse,0.2512477919808589,86.23020940364943,,,,,,,,70.0,,False,70,650,,4.723512581254627,2.7510757205070546e-14,20895.92773963291,2978.4242688175273,True,0.0,,1.0000000000000002,8.694053229233747,False,70.0,70.0,False,7.1037154979445e-16,,
development_repeated_nested_cv,primary_instrument1_full,primary,1,1,5,development_combined,FPCR,ok,,,7,response_gcv,0.03114137501688674,108.36595640678324,155.0,3.716456077837685e-15,,,,,,,,False,70,650,0.030334250011947006,4.786539258626633,4.1721611920272546e-14,21025.104605593748,2856.3464750293974,True,,,,,,,,,,0.00011001725465662531,234.05321926061342
development_repeated_nested_cv,primary_instrument1_full,primary,1,2,1,development_combined,CG-FPLS-code,ok,,,3,discrepancy_moment,0.039974624989554286,175.01536430028395,155.0,3.8609588070462095e-15,70.0,0.16834708690193478,True,6.1560129789347044,1.4691747887362476,70.0,False,False,70,650,0.031219666998367757,6.092277509485331,2.38669483037367e-14,17458.66898692075,2628.3352365754663,True,,,,,,,,,,,
development_repeated_nested_cv,primary_instrument1_full,primary,1,2,1,development_combined,Raw FPLS,ok,,,70,inner_cv_mse,0.23427500086836517,133.77936535987416,,,,,,,,70.0,,True,70,650,,4.260540663589318,6.485979844374248e-14,23369.64469807155,3065.992644369602,True,0.0,,4503599627370496.0,4503599627370496.0,True,,,,,,
development_repeated_nested_cv,primary_instrument1_full,primary,1,2,1,development_combined,Arnoldi FPLS,ok,,,6,inner_cv_mse,0.25483166705816984,88.5188257569489,,,,,,,,70.0,,False,70,650,,3.533976159189992,6.577075066907595e-14,23578.916631045977,3020.5937175593535,True,0.0,,1.0000000000000007,22.74177629282301,False,70.0,70.0,False,4.516440666976207e-16,,
development_repeated_nested_cv,primary_instrument1_full,primary,1,2,1,development_combined,FPCR,ok,,,39,response_gcv,0.03202741697896272,40.83704924420928,155.0,3.8609588070462095e-15,,,,,,,,False,70,650,0.031219666998367757,3.1159157475199106,5.028456283840709e-14,27823.396573646896,5150.45939737023,True,,,,,,,,,,8.177818000593507e-06,3271.1777609295686
development_repeated_nested_cv,primary_instrument1_full,primary,1,2,2,development_combined,CG-FPLS-code,ok,,,3,discrepancy_moment,0.038984083046671,141.40547412948771,155.0,3.3883682292037674e-15,70.0,0.2076412089568213,True,10.320560531453948,1.379848438168242,70.0,False,False,70,650,0.030316666001453996,5.511618312990321,6.19447513226754e-14,19402.545183432085,2895.2166401059044,True,,,,,,,,,,,
development_repeated_nested_cv,primary_instrument1_full,primary,1,2,2,development_combined,Raw FPLS,ok,,,47,inner_cv_mse,0.2326024998910725,128.4628834725766,,,,,,,,70.0,,False,70,650,,4.470662929742472,8.162131938987818e-14,21654.697836891977,3092.597821891308,True,0.0,,4503599627370496.0,4503599627370496.0,True,,,,,,
development_repeated_nested_cv,primary_instrument1_full,primary,1,2,2,development_combined,Arnoldi FPLS,ok,,,5,inner_cv_mse,0.2547642500139773,130.32886919219908,,,,,,,,70.0,,False,70,650,,4.472949837565676,8.235008117014494e-14,21681.892095328232,3096.0705093100723,True,0.0,,1.0000000000000004,10.97430386802151,False,70.0,70.0,False,2.5790565289461325e-16,,
development_repeated_nested_cv,primary_instrument1_full,primary,1,2,2,development_combined,FPCR,ok,,,8,response_gcv,0.031164832005742937,125.41879753118423,155.0,3.3883682292037674e-15,,,,,,,,False,70,650,0.030316666001453996,4.692709302006901,8.052817671947803e-14,21497.32768411092,2934.0204837584643,True,,,,,,,,,,8.692576188009269e-05,270.0775672408458
development_repeated_nested_cv,primary_instrument1_full,primary,1,2,3,development_combined,CG-FPLS-code,ok,,,3,discrepancy_moment,0.03947449999395758,155.9413791800861,155.0,3.8072758791411535e-15,70.0,0.21760331606787486,True,10.591592633971175,1.6796558696251236,70.0,False,False,70,650,0.030580083024688065,5.762752281874478,5.5385895300274475e-14,18293.854363803268,2910.7058778264272,True,,,,,,,,,,,
development_repeated_nested_cv,primary_instrument1_full,primary,1,2,3,development_combined,Raw FPLS,ok,,,49,inner_cv_mse,0.23925470904214308,123.88665008289364,,,,,,,,70.0,,False,70,650,,4.60783080881647,5.24708481792074e-14,21648.188409206057,3156.666771173477,True,0.0,,4503599627370496.0,4503599627370496.0,True,,,,,,
development_repeated_nested_cv,primary_instrument1_full,primary,1,2,3,development_combined,Arnoldi FPLS,ok,,,4,inner_cv_mse,0.255769541952759,89.7756364112863,,,,,,,,70.0,,False,70,650,,4.883302320482562,6.358446532827563e-14,20508.73076882926,3117.1153185550093,True,0.0,,1.0000000000000004,8.90080336729273,False,70.0,70.0,False,3.6773684190504516e-16,,
