analysis,variant,variant_role,instrument,repeat,outer_fold,evaluation_index_scope,method,fit_status,evaluation_status,evaluation_prediction_finite,selected_components,rmse,mae,bias,r2
development_repeated_nested_cv,primary_instrument1_full,primary,1,3,2,development_combined,CG-FPLS-code,ok,ok,True,3,6.262965425724043,4.675266431807025,-0.16749378387096778,0.8997402667863929
development_repeated_nested_cv,primary_instrument1_full,primary,1,3,2,development_combined,Raw FPLS,ok,ok,True,54,5.503193347497435,3.760735690755382,-0.23598510941169976,0.9225901797311213
development_repeated_nested_cv,primary_instrument1_full,primary,1,3,2,development_combined,Arnoldi FPLS,ok,ok,True,6,5.702220723611584,3.770939374940684,-0.582875936822743,0.9168897546366641
development_repeated_nested_cv,primary_instrument1_full,primary,1,3,2,development_combined,FPCR,ok,ok,True,55,5.9115795063223615,3.789585151806726,-1.271697373370431,0.910674884587458
development_repeated_nested_cv,primary_instrument1_full,primary,1,3,3,development_combined,CG-FPLS-code,ok,ok,True,3,6.179149688939513,4.814425162304672,0.5654679710337595,0.9017230071334505
development_repeated_nested_cv,primary_instrument1_full,primary,1,3,3,development_combined,Raw FPLS,ok,ok,True,30,4.988918520215071,3.530393851333165,-0.7612895377201297,0.935937003416184
development_repeated_nested_cv,primary_instrument1_full,primary,1,3,3,development_combined,Arnoldi FPLS,ok,ok,True,5,4.988263748087476,3.5295758858262083,-0.7596407401301359,0.9359538182475957
development_repeated_nested_cv,primary_instrument1_full,primary,1,3,3,development_combined,FPCR,ok,ok,True,35,5.643786434602526,3.874082977010074,-0.8797912024879523,0.9180147793577357
development_repeated_nested_cv,primary_instrument1_full,primary,1,3,4,development_combined,CG-FPLS-code,ok,ok,True,3,4.918119298335832,4.081826308111503,0.5328091649967246,0.9335877153521903
development_repeated_nested_cv,primary_instrument1_full,primary,1,3,4,development_combined,Raw FPLS,ok,ok,True,17,4.683188006462151,3.6383762965066753,0.7774816334841957,0.939781007107471
development_repeated_nested_cv,primary_instrument1_full,primary,1,3,4,development_combined,Arnoldi FPLS,ok,ok,True,4,4.6146573628936896,3.606098446598788,0.6119320962759619,0.9415305211464644
development_repeated_nested_cv,primary_instrument1_full,primary,1,3,4,development_combined,FPCR,ok,ok,True,19,4.314092430624237,3.4627454884026703,-0.022671263698093285,0.9488990241399308
development_repeated_nested_cv,primary_instrument1_full,primary,1,3,5,development_combined,CG-FPLS-code,ok,ok,True,3,6.224649960864995,4.4683598648348655,-1.6844087669018502,0.9025610537387045
development_repeated_nested_cv,primary_instrument1_full,primary,1,3,5,development_combined,Raw FPLS,ok,ok,True,48,4.64061105417689,3.3271993867381844,-0.38971075794046256,0.9458431930464067
development_repeated_nested_cv,primary_instrument1_full,primary,1,3,5,development_combined,Arnoldi FPLS,ok,ok,True,5,4.653833238590413,3.3284021081782984,-0.4350632061518809,0.9455341426185369
development_repeated_nested_cv,primary_instrument1_full,primary,1,3,5,development_combined,FPCR,ok,ok,True,14,5.015366859112813,3.5092989082322505,-0.4704905271856967,0.9367430683623104
development_repeated_nested_cv,primary_instrument1_full,primary,1,4,1,development_combined,CG-FPLS-code,ok,ok,True,3,5.608630643823523,4.402532330627083,0.3575199488296036,0.9236573893918267
development_repeated_nested_cv,primary_instrument1_full,primary,1,4,1,development_combined,Raw FPLS,ok,ok,True,14,4.312942779463433,3.4021887710016894,0.6747296860502318,0.9548559291735744
development_repeated_nested_cv,primary_instrument1_full,primary,1,4,1,development_combined,Arnoldi FPLS,ok,ok,True,5,4.336740973687079,3.4129491999008073,0.7021268197427883,0.9543563577823834
development_repeated_nested_cv,primary_instrument1_full,primary,1,4,1,development_combined,FPCR,ok,ok,True,7,4.5002126220416,3.469481066167892,0.6651761912498083,0.9508504673254923
development_repeated_nested_cv,primary_instrument1_full,primary,1,4,2,development_combined,CG-FPLS-code,ok,ok,True,3,6.689055380667119,4.863911649692671,-0.8062984851370345,0.880584800754115
development_repeated_nested_cv,primary_instrument1_full,primary,1,4,2,development_combined,Raw FPLS,ok,ok,True,58,5.8883929224266165,4.134806491353543,-0.7718487197860154,0.9074612586084858
development_repeated_nested_cv,primary_instrument1_full,primary,1,4,2,development_combined,Arnoldi FPLS,ok,ok,True,6,6.359487683700997,4.384127549555799,-0.8585097103089316,0.8920620201795176
development_repeated_nested_cv,primary_instrument1_full,primary,1,4,2,development_combined,FPCR,ok,ok,True,57,6.4102708409722045,4.70493749273566,-0.39121377382563066,0.8903312778824632
development_repeated_nested_cv,primary_instrument1_full,primary,1,4,3,development_combined,CG-FPLS-code,ok,ok,True,3,5.693791634291903,4.478739465928809,0.3393636734679134,0.9137149629390171
development_repeated_nested_cv,primary_instrument1_full,primary,1,4,3,development_combined,Raw FPLS,ok,ok,True,6,3.347868738736234,2.627516359650962,0.2056043019254762,0.9701689050666582
development_repeated_nested_cv,primary_instrument1_full,primary,1,4,3,development_combined,Arnoldi FPLS,ok,ok,True,5,3.349612136153601,2.6258980932872613,0.2114336754711023,0.9701378279848943
development_repeated_nested_cv,primary_instrument1_full,primary,1,4,3,development_combined,FPCR,ok,ok,True,12,3.657967808235803,2.864599209929797,0.23598479727973817,0.9643867090037679
development_repeated_nested_cv,primary_instrument1_full,primary,1,4,4,development_combined,CG-FPLS-code,ok,ok,True,3,5.302566502787375,4.163655522484135,0.2768451027202977,0.9257606795293334
development_repeated_nested_cv,primary_instrument1_full,primary,1,4,4,development_combined,Raw FPLS,ok,ok,True,57,4.852982387763528,3.4632814113783628,0.23812287279716168,0.9378159261505985
development_repeated_nested_cv,primary_instrument1_full,primary,1,4,4,development_combined,Arnoldi FPLS,ok,ok,True,5,4.838366921139259,3.4793491163318,0.31192434614666953,0.9381899150164676
development_repeated_nested_cv,primary_instrument1_full,primary,1,4,4,development_combined,FPCR,ok,ok,True,44,6.211570605119489,4.346452433448151,-0.44784813423289865,0.8981257106461394
development_repeated_nested_cv,primary_instrument1_full,primary,1,4,5,development_combined,CG-FPLS-code,ok,ok,True,3,5.526712893800225,4.207379339230006,-0.09869636378914638,0.9185809098211639
development_repeated_nested_cv,primary_instrument1_full,primary,1,4,5,development_combined,Raw FPLS,ok,ok,True,15,5.370923282428155,3.9030570343658266,-0.44090898207533785,0.9231063750820643
development_repeated_nested_cv,primary_instrument1_full,primary,1,4,5,development_combined,Arnoldi FPLS,ok,ok,True,5,5.370250333003195,3.902512998382466,-0.4407144707264129,0.9231256426367194
development_repeated_nested_cv,primary_instrument1_full,primary,1,4,5,development_combined,FPCR,ok,ok,True,30,5.680673962264846,4.2451302967204745,0.2479150092729408,0.9139814406064041
development_repeated_nested_cv,primary_instrument1_full,primary,1,5,1,development_combined,CG-FPLS-code,ok,ok,True,3,5.77014537035819,4.181819357084872,-1.5711296329770545,0.9067052444197992
development_repeated_nested_cv,primary_instrument1_full,primary,1,5,1,development_combined,Raw FPLS,ok,ok,True,6,5.843237126707706,4.0690647923917185,-1.5245798232253058,0.904326702281388
development_repeated_nested_cv,primary_instrument1_full,primary,1,5,1,development_combined,Arnoldi FPLS,ok,ok,True,6,5.962656670882684,3.901860417524913,-1.5976105943726338,0.9003761482763096
development_repeated_nested_cv,primary_instrument1_full,primary,1,5,1,development_combined,FPCR,ok,ok,True,39,6.030060984155847,3.86793040277664,-1.5263024113240409,0.8981110397262138
development_repeated_nested_cv,primary_instrument1_full,primary,1,5,2,development_combined,CG-FPLS-code,ok,ok,True,3,6.889689354830701,5.310222310785638,0.6523374533170505,0.8765829322411315
development_repeated_nested_cv,primary_instrument1_full,primary,1,5,2,development_combined,Raw FPLS,ok,ok,True,41,5.201058039895003,3.640414778483197,0.5636739658845489,0.9296669675157061
development_repeated_nested_cv,primary_instrument1_full,primary,1,5,2,development_combined,Arnoldi FPLS,ok,ok,True,5,5.186174481324276,3.635853288220528,0.5812710806315005,0.9300689272744498
development_repeated_nested_cv,primary_instrument1_full,primary,1,5,2,development_combined,FPCR,ok,ok,True,18,5.100626543369902,3.6861760947390225,0.7865136359626468,0.9323569789445518
development_repeated_nested_cv,primary_instrument1_full,primary,1,5,3,development_combined,CG-FPLS-code,ok,ok,True,3,6.1056496214751785,4.609087919557884,1.0089578690250123,0.9071108882095911
development_repeated_nested_cv,primary_instrument1_full,primary,1,5,3,development_combined,Raw FPLS,ok,ok,True,67,4.6736665778274915,3.6431667918473702,1.0794710902332008,0.9455727356336536
development_repeated_nested_cv,primary_instrument1_full,primary,1,5,3,development_combined,Arnoldi FPLS,ok,ok,True,5,4.6889798866006736,3.660643201442356,1.0760368806154628,0.945215488528873
development_repeated_nested_cv,primary_instrument1_full,primary,1,5,3,development_combined,FPCR,ok,ok,True,7,4.73383680271288,3.535449133969546,1.207606747691868,0.9441622876596838
development_repeated_nested_cv,primary_instrument1_full,primary,1,5,4,development_combined,CG-FPLS-code,ok,ok,True,3,5.910631897433426,4.202407717843238,-0.6206052648021804,0.9115046143531486
development_repeated_nested_cv,primary_instrument1_full,primary,1,5,4,development_combined,Raw FPLS,ok,ok,True,10,4.5621073593469275,3.4230348376811217,-0.7246903748083716,0.9472789802085717
development_repeated_nested_cv,primary_instrument1_full,primary,1,5,4,development_combined,Arnoldi FPLS,ok,ok,True,6,5.260519892219666,3.81439844633946,-1.2156741669321,0.9299012725188442
development_repeated_nested_cv,primary_instrument1_full,primary,1,5,4,development_combined,FPCR,ok,ok,True,47,6.336180393462243,4.194537335168924,-2.043490139870329,0.8983030644670191
development_repeated_nested_cv,primary_instrument1_full,primary,1,5,5,development_combined,CG-FPLS-code,ok,ok,True,3,4.838574249877309,4.0599826573995585,0.3702689176111919,0.9381782260868833
development_repeated_nested_cv,primary_instrument1_full,primary,1,5,5,development_combined,Raw FPLS,ok,ok,True,36,3.3358414046311005,2.60142309310382,0.5939899216618542,0.9706155590474809
development_repeated_nested_cv,primary_instrument1_full,primary,1,5,5,development_combined,Arnoldi FPLS,ok,ok,True,5,3.34066360662068,2.5913145083407065,0.5859582719810353,0.9705305429393333
development_repeated_nested_cv,primary_instrument1_full,primary,1,5,5,development_combined,FPCR,ok,ok,True,13,3.380191197591778,2.591342157687293,0.5679916711783429,0.9698290367570188
development_source_contiguous_cv,primary_instrument1_full,primary,1,1,1,development_combined,CG-FPLS-code,ok,ok,True,3,6.16937174853984,4.852702525782733,-1.061096599764307,0.889116260815865
development_source_contiguous_cv,primary_instrument1_full,primary,1,1,1,development_combined,Raw FPLS,ok,ok,True,10,4.681848892371721,3.58230138004285,-0.9439645857214586,0.9361411979485325
development_source_contiguous_cv,primary_instrument1_full,primary,1,1,1,development_combined,Arnoldi FPLS,ok,ok,True,5,4.677444524619121,3.5553684105331036,-0.9007098005895787,0.9362612895451741
development_source_contiguous_cv,primary_instrument1_full,primary,1,1,1,development_combined,FPCR,ok,ok,True,7,4.81953316904418,3.6848423300872812,-1.141360619180198,0.932330038567317
development_source_contiguous_cv,primary_instrument1_full,primary,1,1,2,development_combined,CG-FPLS-code,ok,ok,True,3,4.497219826418901,3.869348288564411,0.9628090786811885,0.955412178896147
development_source_contiguous_cv,primary_instrument1_full,primary,1,1,2,development_combined,Raw FPLS,ok,ok,True,64,3.3773301183358106,2.733297128710702,0.6248130949709605,0.9748536449806531
development_source_contiguous_cv,primary_instrument1_full,primary,1,1,2,development_combined,Arnoldi FPLS,ok,ok,True,5,3.3967093592883058,2.755719684250955,0.6357904714922077,0.9745642356674739
development_source_contiguous_cv,primary_instrument1_full,primary,1,1,2,development_combined,FPCR,ok,ok,True,23,3.7390669715400193,3.0629090841278876,0.8512320753859469,0.9691784479170891
development_source_contiguous_cv,primary_instrument1_full,primary,1,1,3,development_combined,CG-FPLS-code,ok,ok,True,3,4.2313392310965945,3.5003118795550767,2.3213711253090072,0.9527199844913836
development_source_contiguous_cv,primary_instrument1_full,primary,1,1,3,development_combined,Raw FPLS,ok,ok,True,47,3.3408348789301057,2.822205310384319,1.722892358830298,0.9705264842762505
development_source_contiguous_cv,primary_instrument1_full,primary,1,1,3,development_combined,Arnoldi FPLS,ok,ok,True,4,3.683826461604882,3.0780307681038415,1.3349221756199858,0.964163940622823
development_source_contiguous_cv,primary_instrument1_full,primary,1,1,3,development_combined,FPCR,ok,ok,True,7,3.64690272917153,2.9196868086222514,1.7244477333089843,0.9648787244089824
development_source_contiguous_cv,primary_instrument1_full,primary,1,1,4,development_combined,CG-FPLS-code,ok,ok,True,3,5.161684377588276,3.6932566245510268,0.22375533305933296,0.9470161127642416
development_source_contiguous_cv,primary_instrument1_full,primary,1,1,4,development_combined,Raw FPLS,ok,ok,True,17,4.750301094678655,3.45805112957637,1.344211905897844,0.9551251300071657
development_source_contiguous_cv,primary_instrument1_full,primary,1,1,4,development_combined,Arnoldi FPLS,ok,ok,True,5,4.744422149782862,3.3545682281933282,0.9973198939385777,0.9552361350291712
development_source_contiguous_cv,primary_instrument1_full,primary,1,1,4,development_combined,FPCR,ok,ok,True,7,5.034675043945048,3.6537515703855274,1.2059912799282115,0.9495914950306664
development_source_contiguous_cv,primary_instrument1_full,primary,1,1,5,development_combined,CG-FPLS-code,ok,ok,True,3,9.284227979794371,7.664440341034985,-2.511751593484721,0.5554825398327363
development_source_contiguous_cv,primary_instrument1_full,primary,1,1,5,development_combined,Raw FPLS,ok,ok,True,51,7.12224878441788,5.368857119534882,-2.1072738175736023,0.7384037516919895
development_source_contiguous_cv,primary_instrument1_full,primary,1,1,5,development_combined,Arnoldi FPLS,ok,ok,True,8,7.847304732913916,5.756232865754881,-2.195646743947365,0.6824308787242455
development_source_contiguous_cv,primary_instrument1_full,primary,1,1,5,development_combined,FPCR,ok,ok,True,46,8.19597760992976,5.8036336741938515,-1.6146850417323937,0.6535833493920191
original_split_sensitivity,primary_instrument1_full,primary,1,1,1,validation_split_local,CG-FPLS-code,ok,ok,True,3,5.997854942137112,4.820366810676184,2.1086347447876834,-5.442409767085705
original_split_sensitivity,primary_instrument1_full,primary,1,1,1,validation_split_local,Raw FPLS,ok,ok,True,49,4.131477609607036,3.597615593256517,1.6498925512274347,-2.0568014810383404
original_split_sensitivity,primary_instrument1_full,primary,1,1,1,validation_split_local,Arnoldi FPLS,ok,ok,True,5,4.15019247937055,3.5581865497925436,1.405693300669269,-2.0845577548587615
original_split_sensitivity,primary_instrument1_full,primary,1,1,1,validation_split_local,FPCR,ok,ok,True,7,3.977993120824317,3.4305364499152353,1.5115564928500682,-1.833899755309615
