model,n,delta,replications,alpha,calibration,test_engine,critical_value,power,mcse
Model 2,100,0.0,5000,0.05,empirical,direct-moment,15.762326336020495,0.0524,0.003151324800778238
Model 2,100,0.05000000000000093,5000,0.05,empirical,direct-moment,15.762326336020495,0.0594,0.0033428024171344617
Model 2,100,0.10000000000000098,5000,0.05,empirical,direct-moment,15.762326336020495,0.1008,0.004257683877415043
Model 2,100,0.15000000000000102,5000,0.05,empirical,direct-moment,15.762326336020495,0.1678,0.005284754677371505
Model 2,100,0.20000000000000107,5000,0.05,empirical,direct-moment,15.762326336020495,0.2628,0.0062247274639135805
Model 2,100,0.2500000000000011,5000,0.05,empirical,direct-moment,15.762326336020495,0.367,0.0068163186545231284
Model 2,100,0.30000000000000115,5000,0.05,empirical,direct-moment,15.762326336020495,0.5064,0.007070488526261817
Model 2,100,0.3500000000000012,5000,0.05,empirical,direct-moment,15.762326336020495,0.6354,0.006806861832004525
Model 2,100,0.40000000000000124,5000,0.05,empirical,direct-moment,15.762326336020495,0.7498,0.006125356479422238
Model 2,100,0.4500000000000013,5000,0.05,empirical,direct-moment,15.762326336020495,0.8328,0.005277199257181787
Model 2,100,0.5000000000000013,5000,0.05,empirical,direct-moment,15.762326336020495,0.8934,0.004364319878285734
Model 2,100,0.5500000000000014,5000,0.05,empirical,direct-moment,15.762326336020495,0.941,0.003332236486205625
Model 2,100,0.6000000000000014,5000,0.05,empirical,direct-moment,15.762326336020495,0.9676,0.0025040063897682043
Model 2,100,0.6500000000000015,5000,0.05,empirical,direct-moment,15.762326336020495,0.9852,0.0017076861538350679
Model 2,100,0.7000000000000015,5000,0.05,empirical,direct-moment,15.762326336020495,0.9944,0.0010553331227626706
Model 2,100,0.7500000000000016,5000,0.05,empirical,direct-moment,15.762326336020495,0.9968,0.0007987189743583135
Model 2,100,0.8000000000000016,5000,0.05,empirical,direct-moment,15.762326336020495,0.999,0.0004469899327725404
Model 2,100,0.8500000000000016,5000,0.05,empirical,direct-moment,15.762326336020495,0.9994,0.0003463062228721987
Model 2,100,0.9000000000000017,5000,0.05,empirical,direct-moment,15.762326336020495,1.0,0.0
Model 2,100,0.9500000000000017,5000,0.05,empirical,direct-moment,15.762326336020495,1.0,0.0
Model 2,100,1.0000000000000018,5000,0.05,empirical,direct-moment,15.762326336020495,0.9998,0.00019997999899988897
Model 2,200,-1.0,5000,0.05,empirical,direct-moment,15.426111778674235,1.0,0.0
Model 2,200,-0.95,5000,0.05,empirical,direct-moment,15.426111778674235,1.0,0.0
Model 2,200,-0.8999999999999999,5000,0.05,empirical,direct-moment,15.426111778674235,1.0,0.0
Model 2,200,-0.8499999999999999,5000,0.05,empirical,direct-moment,15.426111778674235,1.0,0.0
Model 2,200,-0.7999999999999998,5000,0.05,empirical,direct-moment,15.426111778674235,1.0,0.0
Model 2,200,-0.7499999999999998,5000,0.05,empirical,direct-moment,15.426111778674235,1.0,0.0
Model 2,200,-0.6999999999999997,5000,0.05,empirical,direct-moment,15.426111778674235,1.0,0.0
Model 2,200,-0.6499999999999997,5000,0.05,empirical,direct-moment,15.426111778674235,1.0,0.0
Model 2,200,-0.5999999999999996,5000,0.05,empirical,direct-moment,15.426111778674235,0.9998,0.00019997999899988897
Model 2,200,-0.5499999999999996,5000,0.05,empirical,direct-moment,15.426111778674235,0.9988,0.0004896039215529179
Model 2,200,-0.49999999999999956,5000,0.05,empirical,direct-moment,15.426111778674235,0.9954,0.000956957679315031
Model 2,200,-0.4499999999999995,5000,0.05,empirical,direct-moment,15.426111778674235,0.988,0.0015398701243936133
Model 2,200,-0.39999999999999947,5000,0.05,empirical,direct-moment,15.426111778674235,0.9682,0.0024814818153675857
Model 2,200,-0.3499999999999994,5000,0.05,empirical,direct-moment,15.426111778674235,0.9074,0.004099396053079039
Model 2,200,-0.2999999999999994,5000,0.05,empirical,direct-moment,15.426111778674235,0.8074,0.005576831358396988
Model 2,200,-0.24999999999999933,5000,0.05,empirical,direct-moment,15.426111778674235,0.6472,0.006757694281335906
Model 2,200,-0.1999999999999993,5000,0.05,empirical,direct-moment,15.426111778674235,0.4622,0.007050832007642786
Model 2,200,-0.14999999999999925,5000,0.05,empirical,direct-moment,15.426111778674235,0.2954,0.006451958462358542
Model 2,200,-0.0999999999999992,5000,0.05,empirical,direct-moment,15.426111778674235,0.1606,0.005192449133116279
Model 2,200,-0.049999999999999156,5000,0.05,empirical,direct-moment,15.426111778674235,0.0742,0.003706598440619108
Model 2,200,0.0,5000,0.05,empirical,direct-moment,15.426111778674235,0.0458,0.0029564289269319497
Model 2,200,0.05000000000000093,5000,0.05,empirical,direct-moment,15.426111778674235,0.0812,0.003862811411394556
Model 2,200,0.10000000000000098,5000,0.05,empirical,direct-moment,15.426111778674235,0.1528,0.005088264144086861
Model 2,200,0.15000000000000102,5000,0.05,empirical,direct-moment,15.426111778674235,0.2854,0.006386655462759832
Model 2,200,0.20000000000000107,5000,0.05,empirical,direct-moment,15.426111778674235,0.4752,0.007062364476575816
Model 2,200,0.2500000000000011,5000,0.05,empirical,direct-moment,15.426111778674235,0.648,0.006754198694145739
Model 2,200,0.30000000000000115,5000,0.05,empirical,direct-moment,15.426111778674235,0.8006,0.005650480333564572
Model 2,200,0.3500000000000012,5000,0.05,empirical,direct-moment,15.426111778674235,0.909,0.004067407036429965
Model 2,200,0.40000000000000124,5000,0.05,empirical,direct-moment,15.426111778674235,0.9662,0.0025556822963741033
Model 2,200,0.4500000000000013,5000,0.05,empirical,direct-moment,15.426111778674235,0.989,0.0014750593208410305
Model 2,200,0.5000000000000013,5000,0.05,empirical,direct-moment,15.426111778674235,0.9954,0.000956957679315031
Model 2,200,0.5500000000000014,5000,0.05,empirical,direct-moment,15.426111778674235,0.9986,0.000528779727296718
Model 2,200,0.6000000000000014,5000,0.05,empirical,direct-moment,15.426111778674235,0.9996,0.0002827861382741226
Model 2,200,0.6500000000000015,5000,0.05,empirical,direct-moment,15.426111778674235,0.9998,0.00019997999899988897
Model 2,200,0.7000000000000015,5000,0.05,empirical,direct-moment,15.426111778674235,1.0,0.0
Model 2,200,0.7500000000000016,5000,0.05,empirical,direct-moment,15.426111778674235,1.0,0.0
Model 2,200,0.8000000000000016,5000,0.05,empirical,direct-moment,15.426111778674235,1.0,0.0
Model 2,200,0.8500000000000016,5000,0.05,empirical,direct-moment,15.426111778674235,1.0,0.0
Model 2,200,0.9000000000000017,5000,0.05,empirical,direct-moment,15.426111778674235,1.0,0.0
Model 2,200,0.9500000000000017,5000,0.05,empirical,direct-moment,15.426111778674235,1.0,0.0
Model 2,200,1.0000000000000018,5000,0.05,empirical,direct-moment,15.426111778674235,1.0,0.0
Model 3,100,-1.0,5000,0.05,empirical,direct-moment,27.333051137770497,0.9992,0.0003998399679871993
